#Coverage	Number of genomic locations
0.0	12651.0
1.0	305.0
2.0	2264.0
3.0	273.0
4.0	3151.0
5.0	632.0
6.0	2304.0
7.0	380.0
8.0	2458.0
9.0	506.0
10.0	1246.0
11.0	300.0
12.0	1404.0
13.0	253.0
14.0	1212.0
15.0	566.0
16.0	1970.0
17.0	492.0
18.0	1673.0
19.0	305.0
20.0	1446.0
21.0	580.0
22.0	1332.0
23.0	332.0
24.0	1268.0
25.0	259.0
26.0	1363.0
27.0	242.0
28.0	655.0
29.0	435.0
30.0	588.0
31.0	338.0
32.0	825.0
33.0	217.0
34.0	488.0
35.0	265.0
36.0	712.0
37.0	445.0
38.0	1030.0
39.0	188.0
40.0	874.0
41.0	395.0
42.0	1096.0
43.0	275.0
44.0	920.0
45.0	398.0
46.0	802.0
47.0	527.0
48.0	973.0
49.0	369.0
50.0	614.0
51.0	292.0
52.0	453.0
53.0	169.0
54.0	583.0
55.0	145.0
56.0	463.0
57.0	218.0
58.0	311.0
59.0	165.0
60.0	643.0
61.0	186.0
62.0	754.0
63.0	259.0
64.0	559.0
65.0	262.0
66.0	656.0
67.0	418.0
68.0	282.0
69.0	343.0
70.0	475.0
71.0	214.0
72.0	593.0
73.0	219.0
74.0	190.0
75.0	384.0
76.0	241.0
77.0	123.0
78.0	180.0
79.0	192.0
80.0	445.0
81.0	248.0
82.0	320.0
83.0	184.0
84.0	151.0
85.0	65.0
86.0	238.0
87.0	276.0
88.0	476.0
89.0	494.0
90.0	112.0
91.0	146.0
92.0	249.0
93.0	97.0
94.0	42.0
95.0	135.0
96.0	439.0
97.0	198.0
98.0	187.0
99.0	256.0
100.0	320.0
101.0	125.0
102.0	125.0
103.0	118.0
104.0	382.0
105.0	110.0
106.0	232.0
107.0	131.0
108.0	221.0
109.0	88.0
110.0	87.0
111.0	187.0
112.0	216.0
113.0	191.0
114.0	213.0
115.0	356.0
116.0	79.0
117.0	116.0
118.0	145.0
119.0	98.0
120.0	281.0
121.0	142.0
122.0	111.0
123.0	140.0
124.0	149.0
125.0	97.0
126.0	78.0
127.0	77.0
128.0	153.0
129.0	97.0
130.0	46.0
131.0	77.0
132.0	192.0
133.0	234.0
134.0	100.0
135.0	100.0
136.0	113.0
137.0	55.0
138.0	124.0
139.0	75.0
140.0	313.0
141.0	105.0
142.0	103.0
143.0	171.0
144.0	207.0
145.0	71.0
146.0	267.0
147.0	144.0
148.0	78.0
149.0	214.0
150.0	157.0
151.0	90.0
152.0	157.0
153.0	226.0
154.0	147.0
155.0	80.0
156.0	52.0
157.0	111.0
158.0	82.0
159.0	87.0
160.0	170.0
