#Insert size (bp)	insert size
30.0	1.0
141.0	1.0
171.0	1.0
192.0	2.0
195.0	2.0
203.0	1.0
205.0	1.0
206.0	2.0
207.0	3.0
208.0	1.0
209.0	1.0
219.0	2.0
220.0	1.0
221.0	2.0
223.0	5.0
224.0	22.0
225.0	1934.0
226.0	722.0
227.0	1429.0
228.0	168.0
229.0	1102.0
230.0	631.0
231.0	752.0
232.0	604.0
233.0	193.0
234.0	75.0
235.0	548.0
236.0	346.0
237.0	294.0
238.0	220.0
239.0	860.0
240.0	148.0
241.0	271.0
242.0	229.0
243.0	492.0
244.0	89.0
245.0	422.0
246.0	78.0
247.0	597.0
248.0	64.0
249.0	815.0
250.0	347.0
251.0	79.0
252.0	282.0
253.0	398.0
254.0	36.0
255.0	163.0
256.0	44.0
257.0	304.0
258.0	4.0
259.0	164.0
260.0	123.0
261.0	258.0
262.0	15.0
263.0	451.0
264.0	78.0
265.0	196.0
266.0	357.0
267.0	497.0
268.0	308.0
269.0	329.0
270.0	167.0
271.0	531.0
272.0	158.0
273.0	797.0
274.0	445.0
275.0	825.0
276.0	3.0
