"GO.ID","Term","Annotated","Significant","Expected","Rank in Fisher.classic","Fisher.classic","Fisher.elim"
"GO:0030968","endoplasmic reticulum unfolded protein r...",5,3,0.34,9,"0.0028","0.0028"
"GO:0043502","regulation of muscle adaptation",10,4,0.68,10,"0.0031","0.0031"
"GO:0042325","regulation of phosphorylation",98,14,6.67,21,"0.0051","0.0051"
"GO:0043525","positive regulation of neuron apoptotic ...",6,3,0.41,22,"0.0053","0.0053"
"GO:0070059","intrinsic apoptotic signaling pathway in...",6,3,0.41,23,"0.0053","0.0053"
"GO:0070555","response to interleukin-1",6,3,0.41,24,"0.0053","0.0053"
"GO:1901661","quinone metabolic process",6,3,0.41,25,"0.0053","0.0053"
"GO:1903426","regulation of reactive oxygen species bi...",6,3,0.41,26,"0.0053","0.0053"
"GO:0009605","response to external stimulus",132,17,8.98,32,"0.0062","0.0062"
"GO:0022008","neurogenesis",90,13,6.12,33,"0.0063","0.0063"
"GO:0031401","positive regulation of protein modificat...",81,12,5.51,38,"0.0071","0.0071"
"GO:0048585","negative regulation of response to stimu...",102,14,6.94,40,"0.0074","0.0074"
"GO:0045892","negative regulation of transcription, DN...",62,10,4.22,41,"0.0076","0.0076"
"GO:0016477","cell migration",82,12,5.58,44,"0.0078","0.0078"
"GO:0002090","regulation of receptor internalization",7,3,0.48,47,"0.0088","0.0088"
"GO:0035914","skeletal muscle cell differentiation",7,3,0.48,48,"0.0088","0.0088"
"GO:0042752","regulation of circadian rhythm",7,3,0.48,49,"0.0088","0.0088"
"GO:0010646","regulation of cell communication",207,23,14.09,54,"0.0095","0.0095"
"GO:0023051","regulation of signaling",210,23,14.29,55,"0.0113","0.0113"
"GO:0008643","carbohydrate transport",14,4,0.95,57,"0.0120","0.0120"
