ID_REF,CDR017,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR025,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR021,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR029,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR022,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR018,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR026,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR030,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR031,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR023,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR027,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR019,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR020,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR028,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR032,Detection Pval,BEAD_STDERR,Avg_NBEADS,CDR024,Detection Pval,BEAD_STDERR,Avg_NBEADS
ILMN_2717580,113.8733,0.1065163,6.507306,38,120.8939,0.05388471,8.369167,38,138.5211,0.04135338,10.49962,40,107.4384,0.0726817,7.812837,34,129.4803,0.03383459,8.780981,35,116.8591,0.06641604,9.174449,28,92.24025,0.08646616,6.157881,39,108.0352,0.09398496,6.495485,31,133.9096,0.03508772,9.118052,48,111.7801,0.1691729,10.01745,32,82.72537,0.2243108,6.981687,37,120.8977,0.08646616,10.38472,34,94.45482,0.1152882,6.985692,42,110.6912,0.0651629,8.642094,34,92.212,0.1754386,4.463658,42,95.60535,0.1528822,6.136159,34
ILMN_2605201,1556.611,0,58.1716,35,1353.831,0,59.96219,30,1516.462,0,33.23642,39,860.8032,0,40.26217,34,932.6267,0,30.00812,34,1335.927,0,38.78195,47,841.9247,0,29.54648,46,974.2218,0,34.64767,40,932.9267,0,39.59182,46,1302.531,0,49.04434,41,977.5773,0,33.6908,44,1422.64,0,58.3265,41,1026.251,0,41.62319,36,896.8254,0,32.44663,41,758.9309,0,19.48472,62,920.8408,0,30.82,35
ILMN_1226833,70.52728,0.7681704,3.269741,42,75.41401,0.481203,5.747382,43,72.50639,0.7205514,4.058299,48,72.41842,0.481203,3.601486,49,75.77592,0.4824561,4.057782,40,71.44913,0.6165413,3.950725,27,70.38125,0.3847118,3.53436,48,77.09267,0.4210526,5.223981,42,62.82135,0.9498747,5.050461,34,88.44323,0.4310777,4.362161,44,83.1356,0.216792,7.261028,43,79.63078,0.5275689,4.782132,41,70.31224,0.5300752,3.46417,39,79.0738,0.3408521,6.526496,42,60.96524,0.9160401,2.612658,31,77.7803,0.3997494,4.47449,53
ILMN_2682574,206.0521,0,8.859638,36,216.3221,0,14.98166,19,246.1236,0.001253133,10.98153,42,231.8809,0,13.02392,43,213.3929,0,11.85857,33,218.2968,0,10.61105,36,160.706,0,9.431177,26,264.1428,0,14.26824,42,248.6836,0,15.68495,40,263.9937,0,13.247,35,220.7992,0,11.59989,29,228.5855,0,18.75422,30,170.3298,0.001253133,12.66166,31,215.3201,0,17.4234,46,241.3037,0,11.93196,42,233.2733,0,16.49716,38
ILMN_2980015,58.43623,0.9887218,2.675153,59,56.26807,0.9874687,3.970089,34,63.86152,0.9398496,3.851756,34,55.49179,0.9586466,4.413258,31,55.60407,0.9887218,2.73919,46,61.63006,0.9135338,4.264134,37,55.06909,0.9360902,3.621787,37,53.25518,0.9949875,3.405306,44,63.10487,0.9448621,4.977134,42,78.92074,0.6766917,5.962578,39,61.92591,0.8521304,4.305335,31,60.34626,0.9761904,4.982413,36,57.07387,0.9536341,3.15946,44,54.12093,0.9862155,4.340708,41,62.78333,0.8609022,3.772925,51,52.55127,0.9937344,3.204643,44
ILMN_2875163,520.5192,0,23.23572,37,523.1034,0,23.6116,41,579.2664,0,18.43963,42,453.6021,0,21.96238,35,454.3126,0,19.71519,26,542.2815,0,23.87049,44,373.7605,0,20.48866,40,445.5495,0,19.84419,31,638.8717,0,40.2743,35,657.1359,0,31.35002,46,495.6054,0,19.86127,34,653.0108,0,46.80947,28,431.8002,0,19.28209,47,415.7323,0,28.00213,42,441.5941,0,19.90879,34,487.2799,0,22.40205,42
ILMN_2838501,308.3456,0,14.79632,37,334.2456,0,12.79397,41,359.9343,0,13.1418,41,274.558,0,11.8797,39,244.3503,0,10.36989,37,330.4373,0,14.1966,28,246.1436,0,12.75158,36,289.1609,0,12.46586,49,334.5295,0,11.1743,35,432.0721,0,16.65381,39,300.8748,0,8.298814,38,326.4563,0,23.69332,32,294.6334,0,17.29693,27,294.4184,0,12.76661,27,276.7079,0,12.48667,40,284.2791,0,11.38829,37
ILMN_1250538,2397.126,0,97.34942,32,2076.248,0,66.85532,42,2682.787,0,105.4145,27,2604.75,0,131.419,32,1437.577,0,56.34456,41,2108.155,0,73.49089,38,1222.297,0,42.28754,45,2636.622,0,96.58486,34,3384.567,0,113.7193,41,2457.398,0,152.5693,47,2365.829,0,87.02554,40,2561.896,0,99.63753,39,1450.524,0,51.9404,48,2044.777,0,77.79485,44,2409.33,0,70.28069,44,1973.935,0,89.59187,39
ILMN_3160745,105.6026,0.1666667,5.962077,45,109.4688,0.09398496,6.729868,47,109.0061,0.1478697,7.732866,35,90.56938,0.1804511,5.924699,40,92.88377,0.2042606,4.909436,40,98.1864,0.1654135,7.49261,37,88.51112,0.1102757,4.213221,46,93.31328,0.1817043,4.756709,50,122.3235,0.06641604,7.97683,47,113.8344,0.1591479,8.573395,43,89.05432,0.1541353,6.584511,47,119.4206,0.09398496,9.615931,32,101.1643,0.07769424,7.858711,39,88.34703,0.1754386,5.930555,46,98.11903,0.1203008,6.174991,37,90.79919,0.1842105,4.151208,45
ILMN_2937738,290.725,0,19.30167,26,284.837,0,11.71608,30,372.0264,0,15.37948,40,265.317,0,15.14842,34,318.4106,0,13.97596,43,284.5899,0,15.33102,25,247.3397,0,14.59755,36,282.7231,0,16.7026,42,424.5935,0,29.95871,38,386.8484,0,23.09218,42,337.7576,0,30.62468,29,312.1678,0,21.37458,29,253.8687,0,16.12929,38,313.9756,0,26.50885,41,227.6711,0,10.45198,32,272.2121,0,11.01449,34
